"_id","text","tweet_id","created_at","user_location","user_name","retweets","search_term"
"ObjectId(""5e436bf7452fef139aa2fb23"")","'Point 3 is especially insightful after Prof. David Hui’s sharing. #coronavirus and #sars were now not excluded as t… https://t.co/QWER4FyTkK'","1213060404282216449","Fri Jan 03 11:31:52 +0000 2020","Hong Kong","hayesluk","","#coronavirus"
"ObjectId(""5e436bf7452fef139aa2fb24"")","'@CUHKofficial professor David Hui quoted from Beijing scholars that the Wuhan pneumonia might be caused by emerging… https://t.co/aDUOT8oSRC'","1213049380439121920","Fri Jan 03 10:48:04 +0000 2020","Hong Kong","hayesluk","","#coronavirus"
"ObjectId(""5e436bf7452fef139aa2fb26"")","'Infections à #MERS-CoV au Qatar                               #Coronavirus https://t.co/WNfgiO0gOY'","1212792365628432384","Thu Jan 02 17:46:47 +0000 2020","France","Azeria64Azeria","","#coronavirus"
"ObjectId(""5e436bf7452fef139aa2fb28"")","'Came for the #coronavirus, stayed for the #morbilli #picorna #astrovirus and #rotavirus !\nDiscovery and Prevalence… https://t.co/MJyHrWQ8yf'","1212680577196933122","Thu Jan 02 10:22:34 +0000 2020","Nottingham, England","PostdocPat","","#coronavirus"
"ObjectId(""5e436c11452fef139aa2fb2a"")","'Vet Robin Hood: Canine #coronavirus infection https://t.co/DwzAGXQgcd'","1214285081336000514","Mon Jan 06 20:38:18 +0000 2020","Connecticut, USA","DipineHealth","","#coronavirus"
"ObjectId(""5e436c11452fef139aa2fb2c"")","'Connaître le Syndrome Respiratoire du Moyen-Orient (#coronavirus #MERS-CoV,)                         https://t.co/inz91z7fVr'","1214249133059563520","Mon Jan 06 18:15:27 +0000 2020","France","Azeria64Azeria","","#coronavirus"
"ObjectId(""5e436c11452fef139aa2fb2d"")","'Nouveaux cas de Syndrome Respiratoire du Moyen-Orient en Arabie saoudite #Coronavirus #MERS-CoV \nhttps://t.co/NSaIQL6sGN'","1214245501782167554","Mon Jan 06 18:01:01 +0000 2020","France","Azeria64Azeria","","#coronavirus"
"ObjectId(""5e436c11452fef139aa2fb2e"")","'Hong Kong : cas suspectés de Syndrome Respiratoire du Moyen-Orient (#coronavirus #MERS-CoV)            https://t.co/FHff9sehHh'","1214241734147891200","Mon Jan 06 17:46:03 +0000 2020","France","Azeria64Azeria","","#coronavirus"
"ObjectId(""5e436c11452fef139aa2fb2f"")","'Vague de pneumonies en Chine : le SRAS écarté https://t.co/0pjXChslv9 #Alaune #coronavirus #épidémie #pneumonie… https://t.co/HjaoBQoo6p'","1214230279734218753","Mon Jan 06 17:00:32 +0000 2020","Nantes, France","destinationsant","","#coronavirus"
"ObjectId(""5e436c11452fef139aa2fb30"")","""Interesting review of what we know (or don't know) about the #pneumonia cases in #Wuhan province. It's neither a  h… https://t.co/MEXIXEymOi""","1214194355180691457","Mon Jan 06 14:37:47 +0000 2020","Singapore","ianwyj","","#coronavirus"
